period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1213,0.2447,0.1952,0,0
1214,item1213,0.198,0.0905,0.1132,0
1215,item1213,0.5205,0.3918,0.0184,0
1216,item1213,0.1627,0.1174,0,0
1217,item1213,0.2037,0.1132,0,0
1218,item1213,0.0764,0.0481,0,0
1219,item1213,0.1301,0.1047,0,0
1220,item1213,0.0707,0.0679,0.0085,0
1221,item1213,0.2122,0.0283,0,0
1222,item1213,0.0764,0.0552,0.0849,0
1223,item1213,0.8048,0.553,0.0099,0
1224,item1213,0.6747,0.6167,0.4272,0.8883
1225,item1213,0.5446,0.4583,0.8897,0.0198
1226,item1213,1,0.9943,0.0198,0
1227,item1213,0.0707,0.0651,0.0438,0.0057
1228,item1213,0.2461,0.1895,0.0057,0
1229,item1213,0.2207,0.1386,0.0071,0
1230,item1213,0.7652,0.5163,0.0028,0
1231,item1213,0.2744,0.0976,0.0877,0.0057
1232,item1213,0.6139,0.4866,0.3211,0.0453
1233,item1213,0.7185,0.4668,0.0693,0.0226
1234,item1213,0.3635,0.2956,0.0495,0.0354
1235,item1213,0.1372,0.1117,0.0354,0
1236,item1213,0.1683,0.1033,0,0.0057
1237,item1213,0.1103,0.0608,0.0226,0
1238,item1213,0.0976,0.0919,0.0028,0
1239,item1213,0.0354,0.0226,0,0
1240,item1213,0.3352,0.0226,0.0141,0.0255
1241,item1213,0.1231,0.0325,0.0255,0
1242,item1213,0.1528,0.0962,0,0
1243,item1213,0.1047,0.058,0,0
1244,item1213,0.0693,0.0523,0.041,0
1245,item1213,0.1909,0.1146,0,0.0113
1246,item1213,0.1895,0.0948,0.0226,0
1247,item1213,0.5276,0.3805,0,0.0113
1248,item1213,0.4979,0.2744,0.0226,0
1249,item1213,0.3296,0.1174,0.0057,0
1250,item1213,0.0919,0.0693,0.0198,0
1251,item1213,0.4979,0.314,0.0028,0
1252,item1213,0.0806,0.0396,0,0
1253,item1213,0.1386,0.0566,0.0566,0
1254,item1213,0.3607,0.239,0,0
1255,item1213,0.2405,0.2207,0.0608,0
1256,item1213,0.4851,0.4583,0.0057,0
1257,item1213,0.0948,0.0523,0.0523,0
1258,item1213,0.174,0.1386,0.0156,0
1259,item1213,0.1174,0.1174,0,0
